insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Violette', '2002/09/11', '464 422 0387', 'Female', '155.84.194.112', 2);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Joane', '2000/10/05', '648 671 5152', 'Female', '131.34.37.247', 3);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Berrie', '2002/05/14', '891 691 8561', 'Female', '214.41.210.175', 4);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Tiena', '1999/06/20', '613 962 7425', 'Female', '228.66.11.200', 5);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Starr', '2001/04/22', '617 708 6779', 'Female', '228.78.146.217', 6);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Haze', '1998/10/03', '969 797 4657', 'Male', '95.150.56.157', 7);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Kassia', '2000/09/15', '251 730 9853', 'Female', '242.210.239.117', 8);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Dory', '1999/04/30', '806 100 9691', 'Female', '85.225.153.142', 9);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Orin', '2001/12/18', '585 823 1357', 'Male', '241.241.81.73', 10);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Elianora', '2000/01/24', '197 460 8321', 'Female', '104.98.146.62', 11);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Halley', '2000/08/25', '602 795 8014', 'Female', '241.57.98.75', 12);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Earvin', '2000/10/25', '512 473 7872', 'Male', '172.85.83.122', 13);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Wolf', '2002/04/21', '165 454 6794', 'Male', '202.233.125.244', 14);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Elise', '2002/05/25', '253 663 9485', 'Female', '50.165.112.37', 15);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Garvey', '2000/09/25', '454 993 8174', 'Male', '217.3.159.172', 16);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Jorge', '1999/02/10', '754 652 7753', 'Male', '156.67.166.53', 17);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Kary', '2003/03/08', '472 414 4187', 'Female', '205.237.128.205', 18);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Jamie', '1999/08/06', '506 997 2542', 'Male', '178.54.9.207', 19);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Thacher', '2002/02/09', '206 284 1183', 'Male', '168.217.209.193', 20);
insert into user_profiles (up_name, up_dob, up_phone, up_gender, up_idcode, user_id) values ('Forest', '1998/10/13', '795 403 5911', 'Male', '211.149.147.67', 21);
